;0;1
0;noNeed;
1;noNeed;
2;simulation_time;39.160000000000004
3;agents_distance_walked;{6: 45.14389717994562}
4;average_distance_walked;45.14389717994562
5;agents_speeds;{6: 1.1528063631242496}
6;average_speed;1.1528063631242496
7;average_density;1.0
8;average_time;39.160000000000004
9;new_metric;2.576426761677038
10;cassol_metric;2.0849395050885526
11;normalized_total_simulation_time;39.160000000000004
12;normalized_average_simulation_time;39.160000000000004
13;normalized_average_speed;1.1528063631242496
14;normalized_average_distance_walked;45.14389717994562
15;minimum_simulation_time;39.160000000000004
16;maximum_average_density;1.0
17;maximum_average_density_frame;0
18;maximum_cell_density;1
19;maximum_cell_density_frame;0
20;maximum_cell_density_id;0-1
21;maximum_agent_speed;1.2000000000000959
22;minimum_agent_speed;0.7519266035293716
23;maximum_distance_walked;45.14389717994562
24;minimum_distance_walked;45.14389717994562
