;0;1
0;noNeed;
1;noNeed;
2;simulation_time;64.8
3;agents_distance_walked;{7: 71.47379708255359}
4;average_distance_walked;71.47379708255359
5;agents_speeds;{7: 1.1029906957184197}
6;average_speed;1.1029906957184197
7;average_density;1.0
8;average_time;64.8
9;new_metric;2.5621562446014967
10;cassol_metric;2.064526615226438
11;normalized_total_simulation_time;64.8
12;normalized_average_simulation_time;64.8
13;normalized_average_speed;1.1029906957184197
14;normalized_average_distance_walked;71.47379708255359
15;minimum_simulation_time;64.8
16;maximum_average_density;1.0
17;maximum_average_density_frame;0
18;maximum_cell_density;1
19;maximum_cell_density_frame;2105
20;maximum_cell_density_id;5-15
21;maximum_agent_speed;1.2000000000001187
22;minimum_agent_speed;0.2235793762286652
23;maximum_distance_walked;71.47379708255359
24;minimum_distance_walked;71.47379708255359
